part,title,rating,text
인문,사피엔스,4,고등학교 올라가는 조카가 읽어야한다고해서 주문했어요 생각보다 어려운 책 인거같아요
인문,사피엔스,4,여러가지로 깊게 생각할 수 있는 계기가 되었습니다.
인문,사피엔스,4,정독해 보려고 합니다
인문,사피엔스,4,강추하는 책이라 좋을거 같아요.
인문,사피엔스,4,집중하고 정독하면 좋을고같아요
인문,사피엔스,4,아주 좋습니다 아이와 함께 봅니다
인문,사피엔스,4,믿고보는베스트셀러~~다읽을수있을지ㅎㅎ도전!!
인문,사피엔스,4,지인께 선물해 드렸는데 좋아요! 교보 혜택도 받고 너무 유용해요!
인문,사피엔스,3,...잘 읽었어요.
인문,사피엔스,4,흥미진진할것으로 생각된다.
인문,사피엔스,4,인생책입니다. 잘 안읽힐수 있지만 무조건 읽어야 하는 책이 아닐까 싶네요. 선입견과 고정관념을 버리고 꼭 보시길~세상을 보는 통찰력이 생길거에요^^
인문,사피엔스,4,현대인들에게 필요한 통찰을 주는 책입니다.
인문,사피엔스,4,역시 흥미로운 책입니다.
인문,사피엔스,4,유명한 교양서적(?) 사피엔스를 책장에 꽂기로 결심했습니다! 읽는 책의 종류를 넓히고자 합니다. 읽고 나서 관련 영상들을 찾아볼 예정입니다;
인문,사피엔스,4,인류에 대한 엄청난 고찰이 수반된 대단한 예측이자 분석 이런 사람을 천재라고 안 부르면 과연 누가 천재일까?
인문,사피엔스,4,추천받아서 꼭 읽고 싶었던 책!!
인문,사피엔스,4,"배송 잘 받았으며, 잘 읽어보도록 할게요. 감사합니다."
인문,사피엔스,4,너무 너무 감사합니다.
인문,사피엔스,4,총균쇠와 더불어 읽어보면 좋은 책
인문,사피엔스,4,예상보다 잘 읽힙니다. 필독서로 적극 추천합니다.
인문,사피엔스,4,인류의 역사를 책 한권에 담아냄
인문,사피엔스,4,읽기 좋은 책이네요 조ㅎ아요
인문,사피엔스,4,어렵지않고 기발하고 유익하다
인문,사피엔스,4,조카 선물로 교보문고 바로드림으로 구입했습니다. 사회 초년생이 된 조카의 앞날에 도움이 되길 기원합니다.
인문,사피엔스,4,왜 베스트셀러인지 알겠더라고요 두꺼운데도 재밌게 읽었어요 상식이 많이 채워질거라 생각합니다
인문,사피엔스,4,책장 한 켠을 기꺼이 내어 줄만한 책
인문,사피엔스,4,배송 빠릅니다 내용 좋아요
인문,사피엔스,4,꼭 한번쯤 읽어보아야할 책입니다.
인문,사피엔스,4,몇년간 구매할까만 망설이다 도서관대여로 읽어보다 역시 소장용이다 싶어 구매했어요. 천재!!!!
인문,사피엔스,3,인류에 대한 흥미로운 관점 역사 종교 부분은 좀 지루
인문,사피엔스,4,꼭 읽어야 하고 읽기를 권장합니다
인문,사피엔스,4,처음엔 좀 어려운것 같아 속도가 나질 않았는데 점점 읽어나가는게 수월해진것 같아여...
인문,사피엔스,4,빠른배송 굿굿굿굿굿
인문,사피엔스,4,잘 받았습니다 잘 읽을게요
인문,사피엔스,4,인간 문명의 발전을 보며 앞으로 미래를 바라볼 수 있을것 같아 읽고있는 중입니다
인문,사피엔스,4,전자책으로 다 읽고 좋아서 소장용으로 구매
인문,사피엔스,4,인류의 역사에 대해 깊게 생각해보는 계기가 될것 같은 책
인문,사피엔스,4,작가의 상상력에 족경을 표합니다 이 책을 읽으면서 인간에 대한 생각이 많이 바뀌었습니다~~^^
인문,사피엔스,4,정독합니다! 좋아요
인문,사피엔스,4,너무 재미있고 흥미롭습니다
인문,사피엔스,4,사피엔스는 진화하고 현재 다른종을 진화시키고있다.
인문,사피엔스,4,너무읽고싶엇는데 드디어 구매햇네여
인문,사피엔스,4,인류 공부에 도움 됩니다
인문,사피엔스,4,음미하며 잘보겠습니다
인문,사피엔스,4,흥미로운 주제 덕분에 재미있게 책을 읽을 수 있었습니다. 인류의 역사를 알아보기 좋은 책이에요
인문,사피엔스,4,자연의 섭리에 도태되지 않게 준비를 생각하게 해주는 책
인문,사피엔스,4,역시나 명불허전입니다.
인문,사피엔스,4,우리가 모두가 지금을 살아가고 다음시대를 맞기 위해서 고민해야할 것들이 모여있다. 읽을수록 생각이 많아진면 잘 읽은 것이 아닐지... 자유로운 생각을 글로 펼쳐내는 우발 하라리의 글쓰기가 참 부럽다.
인문,사피엔스,3,딱딱할것 같지만 상당히 재밌습니다
인문,사피엔스,4,인류의 역사를 선사시대 부터 미래까지를 기술하는데 있어 과학에 근거하여 기술함으로 주장에 대한 신뢰도를 높여 읽으면서 설득이 되어 간다.
인문,사피엔스,4,남편이 부탁해서 구매했는데 무척 잘 읽어요.
인문,사피엔스,4,누구나 읽고 인간에게 국가란 무슨의미인지 과학이 왜 발전하게 되었는지 생각해보길
인문,사피엔스,4,워낙 유명하지만 제대로 읽어보지는 않은...책인것 같습니다 이번에야말로...!!
인문,사피엔스,4,아직 읽기 전이지만 기대되네요
인문,사피엔스,4,좋은 책 잘 읽었습니다!
인문,사피엔스,4,유발하라리 세계적인 석학으로 불리는 이유가 있습니다. 세상을 읽고 싶다면 이 책을 읽으세요
인문,사피엔스,4,깊이 이해하려면 정독해야 하고 정확히 이해하려면 배경지식이 좀 필요해요. 생각보단 오래걸리지만 통찰이 오는 책!
인문,사피엔스,4,초등학생이 읽기 어려운 책인데 담임쌤 추천으로 샀어요. 아이가 읽기엔 좀 어려워해요
인문,사피엔스,3,필독서라 샀어요 . 재밌어보여요
인문,사피엔스,4,읽고 싶었던 책이어서 구매했습니다. 워낙 유명한 책이라 기대가 되네요.
인문,사피엔스,4,동물들 중 뛰어난 사고의 능력으로 새로이 사는 사람의 모습을 정확히 연출을 해주니 다시금 나 자신을 돌아보며 앞 날을 상상해보게 합니다.
인문,사피엔스,4,"사람의 이야기란? 역사속에서 또 다른 변화를 연출하게 해주니, 새로운 상상속의 사피엔스로 연출해주니 또 다시 보게 딥니다."
